ObjectID,Object Number,Mnemonic,Classification,Culture,Period,Display Name,Alpha Sort,Object Name,Title Sort,Date,Begin Date,Medium/Materials,Dimensions,Description,WebDescription
65543,LEEDM.E.1953.0104.0651,Social History,Instruments and Tools,,,,,trap,rodent trap,19th Century,1800,wood; metal,"object height: 60mm
object width: 160mm
object depth: 54mm","small animal trap, wooden block with four holes all set with wire sprung traps","Small animal trap, designed as awooden block with four holes all set with wire sprung traps, probably to catch mice or other rodents.  This was part of the private museum collection amassed by Miss Emily Wardman of Wetherby who died in 1939."
65625,LEEDM.E.1954.0068,Social History,Music,,,H. Cockroft,"Cockroft, H.",serpent,serpent,1825-1850,1825,wood; metal & bone,object: 914mm,"serpent, wood and brass, in two halves, bound with  cloth or leather and painted; 5 silvered keys on  metal saddles; metal stays across the coils and  ferrules at 2 ends; bone mouthpiece; wide end  turned slightly outwards (suggestion of George  III); ivo","A serpent (a bass wind instrument descended from the cornett), made of wood and brass, bound with cloth or leather and painted.  It has five silvered keys on metal saddles, metal stays across the coils and ferrules at two end.  It has a bone mouthpiece and a wide end  turned slightly outwards.  There are ivory or bone liners in all tone holes and it is marked H. Cockroft, Haslingden.
H. Cocroft of Haslingden seems to have been a bookseller.  In 1836 he published a book called ""The duel, the Batlle of Waterloo and other poems"" by L. O. Shaw - which might fit as someone who also owned a serpent horn."
65738,LEEDM.E.1954.0134,Social History,Smoking & tobacco,,,,,pipe,meerschaum cheroot holder,mid 19th-19th Century,1850,"mineral, sepiolite (meerschaum) or meerschaum (magnesium silicate) & wood & leather & textile & metal","object height: 64mm
object width: 100mm
object depth: 32mm",meerschaum pipe or cheroot holder carved in shape of horse with case (pipe stem missing),"Meerschaum cheroot (or cigar) holder carved with a surmounted running horse, in its original case.  ""Meerschaum"" is the German for ""foam of the sea"" and refers to a soft white mineral (magnesium silicate) which was often found floating in the Black Sea and was often used to make pipes."
65807,LEEDM.E.1955.0012,Social History,Ceramics,,,,,jar,storage jar,c.1800,1795,"ceramic, earthenware","object height (approx.): 279mm
object diameter (approx.): 127mm","blue and white (Delft-type) glazed ceramic  jar, with brass lid; marked ""STOKVIS"" (meaning  ""dried cod"" in Dutch)","A blue and white (Delft-type) glazed earthenware storage jar, with a brass lid. It marked ""STOKVIS""  whic means ""dried cod"" in Dutch."
65822,LEEDM.E.1955.0021.0003,Social History,"Paintings, Prints and Drawings",,,John Fairburn,"Fairburn, John",print,silk print,1829,1829,textile; wood; glass,object: 292 x 345mm,"coloured print on silk, framed and glazed; ""Mr.  T.P. Cooke as WILLIAM (in Black Eyed Susan)"",  printed, J. Fairburn, Minories, London; picture of  man in sailor suit","coloured print on silk, with the title ""Mr. T.P. Cooke as WILLIAM (in Black Eyed Susan)"",  printed by J. Fairburn, Minories, London. ""Black Eyed Susan"" was a nautical melodrama by Douglas Jerrold which was performed at the Surrey Theatre, London in 1829."
66032,LEEDM.E.1955.0149,Social History,Toys and games,,,Benjamin Pollock Ltd.,Benjamin Pollock Ltd.,toy,toy theatre,c 1880,1870,wood; cardboard; paper; metal,object: 400 x 450 x 410mm,"model theatre, Pollocks, c.1880; with scenes,  characters and scripts for ""Aladdin"", ""Sleeping  Beauty"", ""Robinson Crusoe"", etc. (showing ""Jack  and the Beanstalk"" in display)","A model theatre, printed by Pollocks, about 1880.  It is complete with scenes, characters and scripts for ""Aladdin"", ""Sleeping  Beauty"", ""Robinson Crusoe"" among others and the show currently on display is ""Jack  and the Beanstalk"" .  Pollocks famously published toy theatre sheets that were ""penny plain"" and ""tuppence coloured"".  This is a coloured version."
66485,LEEDM.E.1956.0135,Social History,Ceramics,,,,,cup,moustache cup,1890,1890,"ceramic, earthenware","object height: 80mm
object diameter (saucer): 157mm","moustache cup and saucer, white glazed  earthenware, gilt dusted rims, coloured brown  transfer print of floral sprigs; left handed. Made in England","A moustache cup and saucer, white glazed earthenware with gilt dusted rims and coloured brown transfer print of floral sprigs.  It is made for a left-handed user.  There are no marks on the underside except ""Made in England""."
126566,LEEDM.E.1957.0071.0007,Social History,Metalwork,,,,,urn,tea urn,1830,1830,copper & brass,"object height: 410mm
object width: 240mm
object depth: 330mm","copper tea urn (or samovar) with lid, lion motifs with ring handles at sides, tap at front
card description: brass and copper tea urn, ornamented with Romanesque lions, standing on four Doric type column legs. Tiered domed lid","A brass and copper tea urn (or samovar) with a domed lid, ornamented with Romanesque lions, standing on four Doric type column legs, and ring handles at the sides and a tap at the front."
66819,LEEDM.E.1958.0028.0001,Social History,Ceramics,,,,,cup,chocolate cup,c 1890 - 1899,1890,"ceramic, porcelain","object height: 130mm
object diameter (saucer): 157mm","""Vienna"" porcelain chocolate cup and saucer,  turquoise blue and yellow bands decorated in gilt,  with miniature painted classical scene (Diana,  Cupid and another woman, prob. Venus)","A ""Vienna"" porcelain chocolate cup and saucer,  turquoise blue and yellow bands decorated in gilt, with a miniature painted classical scene probably showing Diana, Cupid and Venus."
128339,LEEDM.E.1958.0061.0001,Social History,Food and drink,,,,,canister,treacle canister,c.1900,1895,metal,"object height: 290mm
object width: 295mm
object depth: 315mm","grocer's square green metal treacle tin with pouring handle on front, hinged lid on top ""BEST TREACLE""","A Grocer's canister for storing treacle, with a pouring handle at the front, marked ""BEST TREACLE"".  The customer would have brought their own empty jar to be refilled by the grocer."
67301,LEEDM.E.1959.0011.0017,Social History,Instruments and Tools,,Victorian,,,grater,nutmeg grater,1840-1880,1840,"metal, tin; wood",object: 155mm,"nutmeg grater with rotary grater set into rectangular tin shaft with sprung wooden plunger, turned wooden handle",A nutmeg grater with rotary grater set into rectangular tin shaft with a sprung wooden plunger and turned wooden handle.
67275,LEEDM.E.1959.0066.0001,Social History,Instruments and Tools,,Victorian,,,kettle,copper kettle,mid 19th-19th Century,1837,copper,"object height: 315mm
object width: 310mm
object diameter: 210mm","large copper kettle, 1 gallon capacity, lid with acorn knob","A large copper kettle to hold one gallon (imperial), with an acorn-shaped knob."
67557,LEEDM.E.1959.0079.0001,Social History,Toys and games,,,Guinness,Guinness,toy,toy brewer's cart,c 1890 - 1899,1890,wood; metal,object: 570 x 280 x 230mm,"TOY HORSE AND CART; wooden horse on wooden base on  4 small iron wheels attached to wooden cart (brewer's dray)  with 2 large wooden wheels; on cart 3 wooden  casks; name plate at front of cart ""GUINESS  BREWERY""","A toy horse and cart, wooden horse on a base with four small iron wheels pulling a wooden cart representing a brewer's dray.  The name plate is marked ""Guiness Brewery"""
67657,LEEDM.E.1959.0120,Social History,Glass,,Victorian,,,epergne,glass epergne,late 19th Century,1867,"glass; metal, brass","object height: 550mm
object diameter: 260mm
object width: 350mm","clear glass epergne with white and pink frilled  rims and clear spiral decoration, base with brass  fittings, central pink trumpet, 2 side vases, 2  glass hooks with 2 hanging vases",A clear glass epergne with white and pink frilled rims and clear spiral decoration.  This was designed as a table centrepiece and would sometimes have held floral displays.
68942,LEEDM.E.1960.0093.0002,Social History,Ceramics,,,Leeds Fireclay Company Ltd.,Leeds Fireclay Company Ltd.,vase,Burmantofts vase,c 1895 - 1899,1895,"ceramic, earthenware",object: 230mm,"ovoid vase with 3 dimpled handles or supports  growing from base; cylindrical neck; moulded with  Dicentra (Bleeding Heart) flowers and foliage  picked out in yellow, green and purple on a deep  green ground; impressed ""BF [monogram] / 2245 /  ENGLAND"" an","A Burmantofts vase, ovoid with three dimpled handles or supports growing from the base, moulded with Dicentra (Bleeding Heart) flowers and foliage picked out in yellow, green and purple on a deep  green ground.  The underside is  impressed ""BF [monogram] / 2245 /  ENGLAND"" and ""Col. 164/10"" (in black)."
69143,LEEDM.E.1960.0127.0002,Social History,Metalwork,,,Powolny's,Powolny's,centrepiece,silver-plate centrepiece,c 1874,1864,"metal, silver plate","object height: 660mm
object width: 410mm
object depth: 410mm",Silver plated centrepiece with hanging baskets,"Silver plated centrepiece with hanging baskets, used in the grand Leeds restaurant ""Powolny's"" which was on Bond Street."
69551,LEEDM.E.1961.0017.0001,Social History,Furniture,,,Joseph Watson and Sons Ltd.,Joseph Watson and Sons Ltd.,chair,Watson's advertisement chair,c 1860,1850,wood & metal & enamel,"object height: 910mm
object width: 380mm
object depth: 520mm","wooden chair with advertisement on back, and  wooden seat; metal back advertising ""Watson's  Matchless Cleanser"" soap; chair made in Dundee,  metal back made in Falkirk `registered design, F  East, Dundee'.","A wooden chair with and advertisement  for ""Watson's Matchless Cleanser"" soap set into the back. The chair made in Scotland, and is marked ""Registered design, F  East, Dundee"".  Joseph Watson and Sons Ltd was a Leeds based soap manufacturer, affectionately known as ""Soapy Joe's""."
70575,LEEDM.E.1961.0139.0001,Social History,Toys and games,,,,,doll,wax head doll,1890,1890,wax; composition; hair; glass; textile,"object height: 185mm
object width: 120mm","small wax headed doll, composition arms, blonde  hair, blue glass eyes; wearing blue dress with  lace pinafore, broderie anglaise petticoat and  cream sash at waist; matching blue cap","A small wax headed doll, with composition arms, blonde  hair and blue glass eyes.  She is wearing a blue dress with a lace pinafore, broderie anglaise petticoat and a cream sash at  the waist, plus a matching blue cap."
70849,LEEDM.E.1961.0198.0001.1,Social History,Food and drink,,Victorian,,,canister,grocer's canister,late 19th Century,1867,metal,"object height: 415mm
object diameter: 260mm","large blue grocer's canister with picture of  industrial scene, Victorian","A large blue grocer's canister with a painted picture of  an industrial scene.  This would have been used for storing dry goods, such as tea."
70899,LEEDM.E.1961.0200,Social History,Toys and games,,,,,cradle,dolls cradle,c 1880,1870,wood; paper,"object height: 315mm
object width: 472mm
object depth: 266mm","wooden doll's cradle, covered with cut-out  coloured scraps, including motto ""Continue Ye in  My Love""","A wooden doll's cradle, covered with cut-out  coloured scraps, including motto ""Continue Ye in  My Love"". This is an example of the Victorian love of decoupage, decorating objects with cut-out printed images which were produced for the purpose."
71035,LEEDM.E.1962.0019.0002,Social History,Perfume,,,Rigaud & Cie,Rigaud & Cie,bottle,perfume bottle,c 1900,1890,glass,,"clear glass bottle or flask, with label ""Ess: Kiss Me  Quick"", in black letters on a gold bordered white  ground. It contains a yellow liquid","This clear chemist's bottle is labelled ""Ess: Kiss Me Quick"", in black letters on a white label with a gold border. It contains the remnants of a yellow perfume or eau de toilette.  ""Kiss Me Quick"" was one of perfumes created by Jean-Baptiste Rigaud, a French perfumer of the 19th century, who marketed many of his scents with an English name (which was fashionable in Paris in the 1850s)."
71312,LEEDM.E.1962.0074.0007,Social History,Smoking & tobacco,,,Bryant and May,Bryant and May,holder,matchbox holder,late 19th Century,1867,"metal, iron","object height: 108mm
object width: 137mm
object depth: 68mm","matchbox holder, cast iron in shape of mule or donkey and  pack.  Stamped R.22410 and BRYANT & MAY","A cast iron matchbox holder, in the shape of mule or donkey carrying a pack.  It is stamped R.22410, indicating that the design was officially registered."
71752,LEEDM.E.1962.0145.0005,Social History,Writing,,,,,inkwell,travelling inkwell,late 19th Century,1867,metal; bone,object: 114 x 32mm,"travelling inkwell, in form of a black tin top  hat, umbrella attached beneath crown contains pen",A travelling inkwell in the form of a black tin top hat. The umbrella attached beneath the crown contains a pen.
129627,LEEDM.E.1963.0013.0013,Social History,Household management,,,,,trap,fly trap,19th Century,1800,glass,"object height: 180mm
object diameter: 164mm","glass fly trap, hand blown with three feet",A hand-blown glass fly trap bottle.  The cavity ring would have been filled with beer or a sugar solution to attract the flies who would then be unable to escape and eventually drown.
72045,LEEDM.E.1963.0075.0005,Social History,Toys and games,,,,,toy,toy animal,c 1900,1890,textile; metal; leather; wood,object: 315mm,"toy duck, with green velvet head and neck, yellow  leather beak, and green painted tin feet; wearing  green coat, pink waistcoat, white shirt, blue tie  and brown trousers; manipulated by metal rod  fitted into back","A toy duck, with a velvet head and neck,  leather beak and painted tin feet.  He is wearing a green coat, pink waistcoat, white shirt, blue tie and brown trousers.  The toy can be manipulated by a metal rod  fitted into the back."
72472,LEEDM.E.1964.0046.0021,Social History,Toys and games,,,J.H. Cotterell,J.H. Cotterell,game,board game,c 1840 - 1849,1840,paper  linen,"object length (board): 635mm
object width (board): 533mm","board game, ""THE PATHS OF LIFE""  board only; coloured lithograph, mounted in 20  sections on linen; a map with numbered routes from  ""Parental Care Hall"" to either ""The Peaceful Ocean""  or ""The Bottomless Pit"".","board game, ""THE PATHS OF LIFE"" , coloured lithograph, mounted in twenty sections on linen.  It consists of a a map with numbered routes from  ""Parental Care Hall"" to either ""The Peaceful Ocean""  or ""The Bottomless Pit""."
72963,LEEDM.E.1965.0002,Social History,Glass,,,Clarkson's,Clarkson's,bottle,glass bottle,after 1871,1871,glass,object: 229mm,"opaque greenish glass bottle, moulded base,  ""Clarksons Leeds Melbourne"", Registered Trade Mark  - a horse, pat. 28th August 1871","Glass mineral water bottle marked ""Clarksons Leeds Melbourne"", including a Registered Trade Mark  of a horse, patented 28th August 1871.  The rounded base meant that it would have to be stored on its side, which would keep the cork moist and stop the carbonated water going flat.  Thomas Clarkson had his mineral water premises on Melbourne Street, Leeds from about 1863."
125247,LEEDM.E.1966.0008.0019,Social History,Toys and games,,,Mr. L.H. Fuller,"Fuller, L.H. Mr.",toy,toy wooden aeroplane,1939-1945,1939,wood,"object length: 120mm
object width: 105mm","toy wooden aeroplane, green, with swastika on tail","Wooden model aeroplane made by Mr L. H. Fuller of Roundhay, as part of an set of model aeroplanes (British, American and German) originally bought by the museum in 1947.  The green livery and swastika on the tail indicate that this one represents the German Luftwaffe."
134536,LEEDM.E.1966.0044,Social History,Glass,,,The British Syphon Manufacturing Co.,The British Syphon Manufacturing Co.,syphon,soda syphon,1880-1910,1880,glass & metal & cane,"object height: 485mm
object diameter: 180mm","clear glass soda syphon, raffata covering, metal  tap on top, ""Made Soley by / the British Syphon  MFG. Co. / London England""","This  glass soda syphon with raffata covering is marked ""Made Soley by / the British Syphon  MFG. Co. / London England"". 

These devices were also known as ""gasogenes"".  The lower contained water or other drink to be made sparkling, the upper a mixture of tartaric acid and sodium bicarbonate that reacted to produce carbon dioxide."
73695,LEEDM.E.1966.0062.0020.A,Social History,Ceramics,,,Wilcock & Co.,Wilcock & Co.,vase,vase,1880-1899,1880,ceramic,"object width: 76mm
object height: 292mm
object diameter (body): 216mm","one of pair of vases, circular body, on bridge base; painted dark green, with a bird in flight;  impressed on base BF (monogram) / 298; plus  signature RB 933 (& RB 936); RB = Robert Bond, Burmantofts Faience","One of a pair of Burmantoft vases with a circular body painted dark green with illustration of a bird in flight. The base has been impressed with the monogram BF plus  signature RB 933 (& RB 936). Made by Robert Bond, Burmantofts Faience"
73723,LEEDM.E.1966.0062.0047.E,Social History,Food and drink,,,Harston & Co. Ltd.,Harston & Co. Ltd.,bottle,Hamilton bottle,late 19th-19th Century,1881,glass,object: 241mm,"glass Hamilton bottle (pointed base), embossed  HARSTON & CO / TRADE MARK / LEEDS","This is an example of a ""Hamilton"" bottle, designed to lie on its side.  Made for carbonated drinks such as lemonade, the idea was that the cork would thus remain moist and not let the contents go flat.  
The bottle is embossed  HARSTON & CO / TRADE MARK / LEEDS.

A 1924 advertisement for Harston & Co. says ""Ask for Hartson's Table Waters - specialities Stone Ginger Beer, Dry Ginger Ale, Lemonade, Soda Water, Fosferzone, Hop Ale"".
"
73759,LEEDM.E.1966.0062.0073,Social History,Smoking & tobacco,,,Leeds Daily News,Leeds Daily News,ashtray,ashtray,1880-1903,1880,tin & enamel,object: 137mm,"enamelled metal ashtray for ""Leeds Daily News"",  ALL NEWS 1/2 HOUR IN ADVANCE OF ANY RIVAL only  paper with exclusive private wire London to Leeds.","enamelled metal ashtray for ""Leeds Daily News"",  ALL NEWS 1/2 HOUR IN ADVANCE OF ANY RIVAL only  paper with exclusive private wire London to Leeds."
74137,LEEDM.E.1967.0031.0007,Social History,Ceramics,,,Leeds Fireclay Company Ltd.,Leeds Fireclay Company Ltd.,jardiniere,jardiniere,c 1895 - 1899,1895,ceramic,"object height: 254mm
object diameter (top): 318mm","Burmantofts jardiniere, globular, moulded with  Viking ships (or oriental?) against a sunset  picked out in dark blue, brown, green and yellow;  impressed ""BURMANTOFTS / FAIENCE / 2218 C /  ENGLAND""","Burmantofts jardiniere, moulded with  images of  Viking longshipsagainst a sunset  picked out in dark blue, brown, green and yellow.  It is  impressed ""BURMANTOFTS / FAIENCE / 2218 C /  ENGLAND"" on the base."
74141,LEEDM.E.1967.0031.0011,Social History,Ceramics,,,Wilcock & Co.,Wilcock & Co.,vase,hall vase,1882,1882,ceramic,object: 695mm,"ornamental vase, globular lower section  and tall flared neck; entwined with heavily  modelled fierce reptile with monkey clinging to  side; liberally applied with foliage and branches  and naturalistically painted with coloured slips  on a graduated blue","A ornamental hall vase, entwined with a heavily modelled fierce reptile chasing a monkey clinging to the rim.  It is marked on the base with the BF monogram (for ""Burmantofts Faience"") and has the signature of E. Hammond, plus the incised date 1882.  Edward Hammond was one of several artists who worked on designs for Wilcock & Co. at Burmantofts in Leeds which raised the profile of the company's venture into art pottery in the 1880s."
74142,LEEDM.E.1967.0031.0011.A,Social History,Ceramics,,,Wilcock & Co.,Wilcock & Co.,vase,hall vase,c 1881,1871,ceramic,object: 790mm,"ornamental vase, globular lower section  and tall flared neck; entwined with heavily  modelled snake looking up at bird sat on rim;  liberally applied with foliage and branches  and naturalistically painted with coloured slips  on a graduated blue ground;","This ornamental hall vase is entwined with a heavily modelled snake looking up at bird sat on the rim.  It is marked with the ""BF [monogram]"" (Burmantofts Faience) and the painted initials ""RB"" (probably relating to Robert Bond),  plus the incised signature ""V. Kremer 1881"".   Victor Kremer was one of several artists who worked with Wilcock & Co. to produce designs for their art pottery range in the 1880s."
74144,LEEDM.E.1967.0031.0013.1,Social History,Ceramics,,,Leeds Fireclay Company Ltd.,Leeds Fireclay Company Ltd.,vase,hall vase,c 1880 - 1899,1880,ceramic,object: 805mm,"large bulbous vase, cream and pale blue ground  with entwined winged dragon in green, brown etc.;  impressed on base ""BF [monogram] / 170"";  Burmantofts","This large hall vase with its modelled design of an entwined winged dragon does not have an artists signature, but is typical of the flamboyant designs produced for Wilcock and Co. in the 1880s. It  impressed on the base ""BF [monogram] / 170"";  standing for Burmantofts Faience."
74146,LEEDM.E.1967.0031.0016,Social History,Ceramics,,,Wilcock & Co.,Wilcock & Co.,vase,hall vase,1882,1882,ceramic,object: 690mm,"hall vase in shades of blue, three dimensional  sculpted crocodile entwined around vase, monkey on  branch of tree; blossom pink  marked ""BF [monogram]""; side marked ""E.HAMMOND  1882""","This hall vase has a sculpted crocodile entwined around the body of the vase, eyeing up a monkey perched on the branch of a tree.  It is marked with  the ""BF [monogram]"" (standing for Burmantofts Faience) and  is signed  ""E.HAMMOND  1882"". Edward Hammond was one of several artists who worked on designs for Wilcock & Co. at Burmantofts in Leeds which raised the profile of the company's venture into art pottery in the 1880s."
75467,LEEDM.E.1967.0114.0001.6,Social History,Medical,,,,,bottle,chemists bottle,late 19th Century,1867,glass,"object height: 200mm
object diameter: 77mm","green glass poison bottle with stopper, l19thc, label LIN: BELLADON:","A green ribbed glass poison bottle from a chemist or pharmacey.  It has the label ""LIN: BELLADON:""  which stands for Belladonna Liniment. This was a very concentrated tincture of Belladonna (commonly known as deadly nightshade) intended for external use only.  It was intended as a pain relief in particular to relieve rheumatism."
75686,LEEDM.E.1967.0153.0002,Social History,Toys and games,,,,,toy,gyroscopic toy,late 19th Century,1867,metal; paper,object: 98mm,"metal gyroscopic toy; Japanese man sitting  cross-legged holding fan in left hand and parasol  in right; string is wound round top of parasol,  and pulled; parasol spins round and is pulled  upwards operating interior mechanism causing fan  to be moved up","This is a small metal gyroscopic toy, representing a Japanese man sitting  cross-legged holding fan in his left hand and a parasol  in right.  A string is wound round top of parasol and when pulled the parasol spins round and is pulled upwards operating an interior mechanism causing the fan  to be moved up and down."
77651,LEEDM.E.1969.0080.0044,Social History,Glass,,,John Parfitt,John Parfitt,bottle,Codd bottle,1897-1915,1897,glass,object: 229 x 64mm,"green glass bottle, ""John Parfitt / Trade Mark /  Woodhouse / Leeds"", with marble stopper, man. by  Redfearn Bros / Bottle Makers/ Barnsley","This is an example of a Codd bottle, designed by Hiram Codd in the 1870s to solve the problem of keeping soft drinks carbonated.  The specially shaped neck held a marble which would seal against a rubber ring at the neck .  When opened the marble was pushed down into the neck.    This bottle was made for John Parfitt of  Christopher Road, Woodhouse, Leeds who was first listed as a Mineral Water Manufacturer in 1897.  The bottle was made by  Redfearn Bros. of Barnsley."
241345,LEEDM.E.1969.0159.0006.26,Social History,Death and the after-life,,,,,plaque,coffin plaque,late 19th Century,1860,"metal, steel","object height: 87mm
object width: 134mm","pressed sheet steel coffin plate or plaque, child praying ""OF SUCH IS THE KINGDOM OF HEAVEN""

","This coffin plate has the image of  child praying and the motto ""OF SUCH IS THE KINGDOM OF HEAVEN"".  It was probably for use on child's coffin, reflecting the high levels of infant mortality in the Victorian era.   It is made of pressed steel with details picked out in black enamel."
79581,LEEDM.E.1969.0219.0001,Social History,Household management,,,Geo. Kent,"Kent, Geo.",cleaner,knife cleaner,c 1880 - 1910,1880,metal & wood,"object height: 590mm
object width: 585mm
object depth: 250mm","Rotary knife cleaner by Geo Kent, 199 High Holborn  London, c1880; circular wooden drum mounted on  cast iron support, contains 2 cleaning plates  turned by a crank on the side; holes for inserting  4 knives and larger grip for carving knives; label  show","This rotary knife cleaner is designed by Geo. Kent, 199 High Holborn  London.  It consists of a circular wooden drum mounted on cast iron supporst, and contains two cleaning plates turned by a crank on the side.  There are holes for inserting up to four knives and larger grip for carving knives.  The label on the front shows the correct mode of use.  It is marked ""size no.7 No.10933"".  Before the advent of stainless steel, steel cutlery had to be frequently cleaned of rust and tarnish."
79940,LEEDM.E.1970.0065.0002,Social History,Toys and games,,,,,toy,toy elephant,after 1873,1873,"metal, iron",object: 89 x 64mm,"cast iron toy elephant, with moving legs and  trunk; will walk down inclined slope; stamped  ""PATENT / 1873"" on one side","This cast iron toy elephant, with moving legs and  trunk, is designed to walk down inclined slope.  It is stamped  ""PATENT / 1873"" on one side."
158719,LEEDM.E.1970.0093.0002,Social History,Architecture,,,,,pot,chimney pot,1870,1870,"ceramic, stoneware","object height: 1070mm
object width (base): 325mm
object depth (base): 325mm","chimney pot, with square base, round collar with serrated lip; known as ""bishop"" from resemblance to chess piece; originally from donor's house built in 1870","This style of chimney pot was known as the ""bishop"" from its resemblance to a chess piece.  It came originally from the donor's (Mr J H Lapping) house in Shadwell, Leeds, which was built in 1870."
